j,eta
20.0,-3.896850627033021
19.992444519528537,-3.8957668513763166
19.978351888785827,-3.893744921841588
19.964259287514526,-3.8917224102114107
19.950166715760584,-3.8896993157756343
19.936074173570073,-3.8876756378225354
19.921981660989186,-3.8856513756388025
19.907889178064227,-3.883626528509539
19.893796724841632,-3.8816010957182527
19.879704301367948,-3.8795750765468546
19.86561190768985,-3.8775484702756517
19.85151954385413,-3.87552127618334
19.837427209907705,-3.8734934935470022
19.823334905897614,-3.8714651216420997
19.809242631871015,-3.869436159742471
19.795150387875193,-3.8674066071203232
19.781058173957557,-3.8653764630462266
19.766965990165637,-3.8633457267891105
19.752873836547092,-3.861314397616258
19.738781713149702,-3.859282474793299
19.724689620021376,-3.8572499575842047
19.710597557210146,-3.8552168452512867
19.696505524764174,-3.853183137055185
19.682413522731746,-3.851148832254867
19.66832155116128,-3.849113930107615
19.654229610101314,-3.847078429869031
19.640137699600523,-3.8450423307930275
19.626045819707702,-3.8430056321318116
19.611953970471784,-3.8409683331358977
19.59786215194183,-3.8389304330540854
19.583770364167027,-3.836891931133464
19.569678607196696,-3.8348528266194006
19.55558688108029,-3.8328131187555354
19.541495185867394,-3.8307728067837825
19.52740352160772,-3.8287318899443146
19.513311888351122,-3.8266903674755626
19.49922028614758,-3.8246482386142087
19.48512871504721,-3.822605502595179
19.471037175100264,-3.82056215865164
19.456945666357125,-3.81851820601499
19.442854188868317,-3.8164736439148585
19.428762742684498,-3.81442847157909
19.41467132785646,-3.8123826882337504
19.400579944435133,-3.810336293103108
19.386488592471586,-3.80828928540964
19.372397272017025,-3.806241664374019
19.358305983122793,-3.8041934292151054
19.344214725840374,-3.8021445791499473
19.33012350022139,-3.800095113393767
19.316032306317606,-3.7980450311599654
19.301941144180926,-3.795994331660104
19.287850013863395,-3.793943014103903
19.2737589154172,-3.7918910776992396
19.259667848894672,-3.789838521652137
19.245576814348283,-3.7877853451667547
19.231485811830645,-3.785731547445388
19.21739484139452,-3.7836771276884638
19.203303903092813,-3.7816220850945235
19.189212996978572,-3.7795664188602305
19.175122123104995,-3.777510128180347
19.161031281525418,-3.7754532122477427
19.14694047229333,-3.77339567025338
19.132849695462372,-3.7713375013863115
19.11875895108632,-3.769278704833672
19.104668239219112,-3.7672192797806625
19.090577559914827,-3.7651592254105615
19.076486913227694,-3.7630985409047053
19.062396299212093,-3.761037225442486
19.04830571792256,-3.7589752782013397
19.034215169413773,-3.756912698356747
19.020124653740574,-3.7548494850822216
19.006034170957946,-3.752785637549305
18.991943721121032,-3.7507211549275548
18.977853304285127,-3.7486560363845465
18.96376292050568,-3.74659028108586
18.9496725698383,-3.7445238881950726
18.93558225233874,-3.7424568568737535
18.921491968062924,-3.7403891862814604
18.90740171706692,-3.738320875575725
18.893311499406966,-3.7362519239120515
18.879221315139446,-3.7341823304439057
18.86513116432091,-3.732112094322711
18.851041047008067,-3.730041214697837
18.836950963257785,-3.7279696907166007
18.82286091312709,-3.7258975215242445
18.808770896673174,-3.723824706263944
18.79468091395339,-3.721751244076793
18.78059096502525,-3.719677134101794
18.766501049946438,-3.7176023754758574
18.752411168774792,-3.715526967333788
18.73832132156832,-3.7134509088082823
18.7242315083852,-3.7113741990299176
18.71014172928376,-3.7092968371271415
18.69605198432251,-3.707218822226272
18.68196227356012,-3.7051401534514854
