j,eta
20.0,-3.5973004883695197
19.99844928497219,-3.5972168365499
19.984314243903228,-3.59645118746342
19.970179303945105,-3.5956798824434237
19.956044465577463,-3.5949029387062494
19.941909729273924,-3.5941203734104836
19.927775095502085,-3.593332203660239
19.913640564723647,-3.59253844650098
19.899506137394447,-3.591739118920662
19.885371813964387,-3.5909342378557954
19.871237594877673,-3.5901238201822503
19.857103480572714,-3.589307882722882
19.842969471482206,-3.588486442245829
19.828835568033252,-3.5876595154606603
19.814701770647282,-3.5868271190257635
19.80056807974019,-3.5859892695429227
19.786434495722368,-3.585145983559071
19.77230101899869,-3.5842972775686825
19.758167649968684,-3.5834431680085186
19.744034389026403,-3.582583671265634
19.729901236560625,-3.58171880367024
19.715768192954805,-3.5808485815005717
19.701635258587185,-3.5799730209794767
19.687502433830733,-3.5790921382798047
19.67336971905329,-3.578205949519616
19.659237114617614,-3.5773144707624596
19.645104620881327,-3.5764177180217662
19.630972238197028,-3.5755157072578596
19.616839966912305,-3.574608454379449
19.602707807369843,-3.573695975240992
19.58857575990734,-3.572778285648098
19.57444382485771,-3.5718554013507267
19.560312002548944,-3.570927338051709
19.546180293304303,-3.5699941113993514
19.532048697442256,-3.5690557369927487
19.51791721527661,-3.5681122303777224
19.503785847116443,-3.5671636070518264
19.489654593266224,-3.5662098824608344
19.475523454025865,-3.5652510719980977
19.461392429690633,-3.56428719101086
19.44726152055133,-3.5633182547938684
19.4331307268943,-3.562344278590591
19.41900004900143,-3.5613652775958897
19.404869487150183,-3.560381266955251
19.390739041613635,-3.55939226176596
19.376608712660595,-3.5583982770730076
19.362478500555515,-3.557399327874874
19.34834840555866,-3.556395429118337
19.334218427926015,-3.555386595703669
19.320088567909394,-3.554372842481712
19.30595882575647,-3.5533541842547156
19.291829201710783,-3.552330635777218
19.27769969601183,-3.5513022117541304
19.263570308895048,-3.5502689268429797
19.24944104059185,-3.5492307956538998
19.23531189132972,-3.5481878327477574
19.221182861332142,-3.5471400526397474
19.20705395081873,-3.5460874697967366
19.192925160005217,-3.545030098638163
19.178796489103515,-3.5439679535360398
19.164667938321728,-3.542901048815281
19.150539507864167,-3.541829398754643
19.13641119793141,-3.5407530175862667
19.12228300872034,-3.5396719194949013
19.108154940424193,-3.5385861186184
19.094026993232514,-3.537495629049632
19.07989916733128,-3.536400464834067
19.065771462902838,-3.53530063997314
19.051643880126075,-3.5341961684190855
19.0375164191763,-3.5330870640810406
19.02338908022533,-3.5319733408225833
19.00926186344161,-3.5308550124590132
18.995134768990084,-3.5297320927632105
18.98100779703234,-3.528604595461669
18.966880947726608,-3.527472534235746
18.952754221227778,-3.52633592272218
18.938627617687473,-3.5251947745118253
18.924501137254033,-3.5240491031512198
18.910374780072505,-3.522898922144381
18.89624854628479,-3.5217442449484144
18.8821224360296,-3.520585084976578
18.867996449442522,-3.519421455596853
18.85387058665593,-3.518253370136635
18.839744847799228,-3.5170808418746584
18.82561923299862,-3.5159038840507733
18.811493742377397,-3.514722509856663
18.797368376055793,-3.5135367324423425
18.78324313415102,-3.5123465649155152
18.769118016777394,-3.5111520203388817
18.7549930240463,-3.509953111731856
18.74086815606621,-3.508749852071368
18.72674341294277,-3.5075422542897643
18.712618794778674,-3.5063303312804064
18.698494301673925,-3.5051140958894336
18.68436993372565,-3.5038935609233595
18.670245691028306,-3.5026687391431612
18.65612157367353,-3.5014396432697583
18.641997581750253,-3.5002062859822014
18.627873715344784,-3.498968679914848
18.613749974540692,-3.497726837662808
18.599626359419027,-3.4964807717755373
18.58550287005814,-3.4952304947635784
18.57137950653381,-3.4939760190953555
18.5572562689193,-3.492717357196349
18.543133157285354,-3.4914545214502652
18.529010171700115,-3.490187524202366
18.514887312229362,-3.4889163777525978
18.500764578936355,-3.4876410943620417
18.486641971881948,-3.486361686249454
18.47251949112458,-3.485078165593001
18.458397136720286,-3.4837905445305144
18.44427490872282,-3.4824988351565813
18.430152807183454,-3.4812030495298383
18.416030832151343,-3.4799031996618135
18.40190898367317,-3.4785992975294313
18.387787261793513,-3.477291355064333
18.37366566655457,-3.47597938416208
18.35954419799646,-3.474663396673562
18.34542285615697,-3.4733434044141065
18.331301641071853,-3.4720194191542326
18.31718055277461,-3.4706914526283326
18.303059591296652,-3.469359516529097
18.28893875666731,-3.4680236225092878
18.274818048913808,-3.4666837821825984
18.260697468061274,-3.4653400071243308
18.24657701413294,-3.4639923088657016
18.23245668714986,-3.462640698903761
18.21833648713119,-3.4612851886934477
18.20421641409407,-3.459925789651508
18.19009646805375,-3.458562513154113
18.1759766490235,-3.457195370539564
18.1618569570147,-3.4558243731070473
18.147737392036845,-3.4544495321164685
18.133617954097595,-3.45307085878847
18.1194986432027,-3.4516883643067175
18.105379459356175,-3.450302059813766
18.09126040256014,-3.448911956416329
18.077141472815004,-3.4475180651804402
18.063022670119434,-3.446120397133446
18.04890399447025,-3.444718963267455
18.034785445862678,-3.443313774532701
18.020667024290184,-3.441904841842842
18.006548729744505,-3.4404921760751637
17.992430562215848,-3.4390757880650473
17.97831252169266,-3.437655688613358
17.964194608161836,-3.4362318884815193
17.950076821608615,-3.4348043983943843
17.935959162016736,-3.433373229037064
17.921841629368316,-3.4319383910586487
17.907724223643903,-3.430499895071558
17.893606944822636,-3.429057751647406
17.879489792882,-3.4276119713247364
17.865372767798103,-3.4261625646018383
17.851255869545543,-3.4247095419406315
17.837139098097495,-3.4232529137656345
17.823022453425658,-3.421792690465263
17.808905935500377,-3.42032888238942
17.79478954429059,-3.418861499851443
17.780673279763796,-3.4173905531296858
17.766557141886206,-3.4159160524637477
17.75244113062273,-3.4144380080554195
17.738325245936803,-3.412956430074356
17.724209487790777,-3.4114713286471825
17.71009385614549,-3.409982713870544
17.69597835096065,-3.408490595800942
17.68186297219471,-3.406994984458478
17.66774771980484,-3.405495889828459
17.65363259374704,-3.4039933218585556
17.639517593976073,-3.402487290461491
17.62540272044555,-3.4009778055130777
17.611287973107885,-3.3994648768538127
17.597173351914382,-3.3979485142874637
17.583058856815217,-3.396428727581665
17.568944487759403,-3.3949055264697
17.554830244694916,-3.3933789206472684
17.540716127568572,-3.391848919776715
17.52660213632623,-3.390315533481734
17.512488270912634,-3.3887787713522033
17.498374531271462,-3.3872386429435006
17.484260917345484,-3.385695157772715
17.470147429076363,-3.384148325324377
17.456034066404825,-3.3825981550463378
17.441920829270682,-3.3810446563499617
17.427807717612666,-3.3794878386147333
17.41369473136872,-3.377927711181073
17.39958187047575,-3.3763642833575065
17.38546913486982,-3.37479756441569
17.37135652448605,-3.37322756359383
17.35724403925878,-3.371654290092874
17.343131679121402,-3.370077753081233
17.32901944400653,-3.3684979616906774
17.314907333845866,-3.366914925020609
17.300795348570396,-3.3653286521331154
17.286683488110256,-3.363739152056987
17.27257175239483,-3.362146433785821
17.258460141352657,-3.3605505062803873
17.24434865491163,-3.358951378464464
17.230237292998815,-3.3573490592296276
17.216126055540613,-3.3557435574315906
17.202014942462668,-3.354134881892954
17.18790395368999,-3.3525230414005818
17.173793089146844,-3.3509080447086395
17.15968234875689,-3.3492899005357715
17.145571732443052,-3.3476686175684396
17.13146124012772,-3.346044204456667
17.11735087173258,-3.3444166698183215
17.1032406271787,-3.3427860222376102
17.089130506386695,-3.3411522702612944
17.07502050927637,-3.3395154224080033
17.060910635767144,-3.337875487157981
17.046800885777863,-3.3362324729581863
17.032691259226727,-3.3345863882245372
17.018581756031445,-3.3329372413384113
17.004472376109337,-3.3312850406443615
16.990363119377015,-3.3296297944587434
16.97625398575082,-3.327971511058926
16.962144975146423,-3.3263101986937564
16.94803608747919,-3.3246458655748583
16.933927322663934,-3.3229785198829047
16.9198186806151,-3.3213081697637943
16.90571016124668,-3.319634823330937
16.891601764472263,-3.3179584886643902
16.877493490205033,-3.3162791738111657
16.863385338357826,-3.3145968867843982
16.849277308843117,-3.312911635563942
16.83516940157291,-3.311223428099399
