r,v,eta,stable
0.05235316441799214,-3.040025275667936,-10.0,true
0.052388279691463265,-3.0379875809861696,-9.988105293982022,true
0.052429820941386845,-3.0355805195257157,-9.974065986057829,true
0.05247146463428968,-3.033171347534463,-9.960026859292332,true
0.05251321120333483,-3.030760059133239,-9.945987914352424,true
0.0525550610843096,-3.0283466484146344,-9.93194915190878,true
0.052597014715646345,-3.0259311094428063,-9.917910572635902,true
0.052639072538443576,-3.0235134362532827,-9.903872177212142,true
0.05268123499648713,-3.0210936228527685,-9.889833966319728,true
0.0527235025362717,-3.018671663218941,-9.875795940644801,true
0.05276587560702248,-3.016247551300254,-9.861758100877445,true
0.052808354660717045,-3.0138212810157317,-9.84772044771171,true
0.0528509401521075,-3.0113928462547666,-9.833682981845655,true
0.05289363253874279,-3.00896224087691,-9.819645703981369,true
0.05293643228099121,-3.0065294587116678,-9.805608614825006,true
0.05297933984206327,-3.0040944935582856,-9.791571715086821,true
0.05302235568803462,-3.001657339185541,-9.777535005481198,true
0.053065480287869365,-2.999217989331527,-9.763498486726682,true
0.05310871411344346,-2.996776437703437,-9.749462159546017,true
0.05315205763956849,-2.9943326779773454,-9.735426024666173,true
0.05319551134401557,-2.99188670379799,-9.721390082818386,true
0.05323907570753957,-2.9894385087785484,-9.707354334738186,true
0.053282751213903565,-2.986988086500413,-9.693318781165436,true
0.05332653834990344,-2.9845354305129677,-9.679283422844362,true
0.05337043760539296,-2.9820805343333574,-9.665248260523596,true
0.05341444947330885,-2.9796233914462587,-9.651213294956202,true
0.05345857444969633,-2.977163995303646,-9.637178526899719,true
0.053502813033734754,-2.97470233932456,-9.623143957116191,true
0.05354716572776366,-2.9722384168948675,-9.609109586372211,true
0.05359163303730897,-2.969772221367022,-9.59507541543895,true
0.05363621547110953,-2.967303746059827,-9.5810414450922,true
0.05368091354114386,-2.964832984258188,-9.567007676112409,true
0.05372572776265731,-2.9623599292128686,-9.552974109284719,true
0.05377065865418931,-2.95988457414024,-9.538940745399005,true
0.053815706737601075,-2.957406912222034,-9.524907585249915,true
0.053860872538103496,-2.954926936605089,-9.510874629636907,true
0.053906156584285374,-2.952444640401091,-9.496841879364291,true
0.05395155940814189,-2.949960016686322,-9.482809335241267,true
0.05399708154510348,-2.947473058501394,-9.468776998081966,true
0.054042723534064904,-2.9449837588509906,-9.45474486870549,true
0.054088485917414664,-2.942492110703599,-9.440712947935957,true
0.05413436924106475,-2.939998106991243,-9.426681236602539,true
0.054180374054480694,-2.9375017406092137,-9.412649735539505,true
0.0542265009107119,-2.935003004415796,-9.398618445586264,true
0.05427275036642236,-2.9325018912319916,-9.384587367587411,true
0.05431912298192167,-2.9299983938412413,-9.370556502392764,true
0.05436561932119634,-2.9274925049891456,-9.356525850857414,true
0.05441223995194149,-2.9249842173831793,-9.342495413841766,true
0.05445898544559291,-2.9224735236924055,-9.328465192211585,true
0.05450585637735937,-2.9199604165471857,-9.314435186838045,true
0.054552853326255334,-2.9174448885388893,-9.300405398597768,true
0.05459997687513403,-2.9149269322195965,-9.286375828372876,true
0.054647227610720925,-2.912406540101801,-9.272346477051034,true
0.05469460612364743,-2.90988370465811,-9.258317345525501,true
0.05474211300848506,-2.907358418320941,-9.244288434695179,true
0.05478974886378005,-2.90483067348221,-9.230259745464654,true
0.05483751429208807,-2.90230046249303,-9.216231278744253,true
0.054885409900009716,-2.899767777663389,-9.202203035450092,true
0.05493343629822602,-2.89723261126184,-9.188175016504118,true
0.054981594101534574,-2.894694955515181,-9.174147222834176,true
0.05502988392888597,-2.892154802608127,-9.160119655374041,true
0.055078306403420624,-2.889612144682994,-9.146092315063486,true
0.05512686215250612,-2.8870669738393593,-9.132065202848324,true
0.05517555180777479,-2.8845192821337373,-9.118038319680464,true
0.055224376005161835,-2.88196906157924,-9.104011666517968,true
0.05527333538494389,-2.879416304145238,-9.089985244325101,true
0.0553224305917779,-2.8768610017570193,-9.075959054072385,true
0.05537166227474055,-2.874303146295441,-9.06193309673666,true
0.055421031087368046,-2.871742729596582,-9.047907373301129,true
0.05547053768769641,-2.8691797434513884,-9.03388188475543,true
0.05552018273830218,-2.8666141796053166,-9.01985663209568,true
0.05556996690634357,-2.8640460297579744,-9.005831616324537,true
0.055619890863602216,-2.861475285562754,-8.991806838451263,true
0.055669955286525116,-2.8589019386264662,-8.977782299491775,true
0.05572016085626738,-2.856325980508968,-8.963758000468712,true
0.055770508258735245,-2.853747402722785,-8.949733942411491,true
0.0558209981846296,-2.8511661967327364,-8.935710126356373,true
0.055871631329490086,-2.848582353955547,-8.921686553346516,true
0.05592240839373971,-2.84599586575946,-8.907663224432051,true
0.05597333008272986,-2.843406723463848,-8.893640140670131,true
0.05602439710678591,-2.8408149183388147,-8.879617303125004,true
0.05607561018125336,-2.838220441604797,-8.865594712868077,true
0.05612697002654449,-2.835623284432158,-8.85157237097798,true
0.05617847736818552,-2.8330234379407817,-8.83755027854063,true
0.05623013293686444,-2.8304208931996575,-8.823528436649307,true
0.05628193746847921,-2.827815641226465,-8.809506846404705,true
0.05633389170418667,-2.8252076729871503,-8.795485508915021,true
0.056385996390451956,-2.822596979395502,-8.781464425296011,true
0.056438252279098496,-2.8199835513127187,-8.767443596671063,true
0.0564906601273587,-2.8173673795469747,-8.753423024171271,true
0.056543220697924994,-2.8147484548529786,-8.739402708935502,true
0.056595934759001744,-2.8121267679315305,-8.725382652110477,true
0.0566488030843576,-2.8095023094290705,-8.711362854850835,true
0.056701826453378575,-2.8068750699372242,-8.697343318319215,true
0.05675500565112164,-2.8042450399923444,-8.683324043686325,true
0.05680834146836906,-2.8016122100750462,-8.669305032131026,true
0.05686183470168334,-2.798976570609736,-8.655286284840404,true
0.05691548615346283,-2.7963381119641393,-8.641267803009848,true
0.05696929663199793,-2.793696824448818,-8.627249587843133,true
0.057023266951528144,-2.7910526983166863,-8.613231640552497,true
0.05707739793229962,-2.788405723762521,-8.599213962358721,true
0.05713169040062351,-2.7857558909224642,-8.585196554491214,true
0.05718614518893501,-2.7831031898735215,-8.571179418188095,true
0.05724076313585307,-2.7804476106330553,-8.557162554696276,true
0.05729554508624092,-2.7777891431582726,-8.543145965271552,true
0.057350491891267244,-2.775127777345705,-8.529129651178678,true
0.05740560440846814,-2.7724635030306857,-8.515113613691465,true
0.05746088350180985,-2.769796309986818,-8.501097854092862,true
0.057516330041752266,-2.767126187925439,-8.487082373675051,true
0.057571944905313144,-2.764453126495079,-8.473067173739532,true
0.05762772897613323,-2.76177711528091,-8.459052255597218,true
0.05768368314454209,-2.7590981438041937,-8.44503762056853,true
0.0577398083076248,-2.756416201521719,-8.43102326998348,true
0.05779610536928946,-2.753731277825234,-8.417009205181785,true
0.05785257524033556,-2.751043362040874,-8.402995427512943,true
0.057909218838523145,-2.7483524434285784,-8.388981938336343,true
0.05796603708864297,-2.745658511181505,-8.374968739021362,true
0.058023030922587385,-2.7429615544254347,-8.360955830947463,true
0.058080201279422185,-2.7402615622181727,-8.346943215504291,true
0.05813754910545941,-2.737558523548938,-8.33293089409179,true
0.05819507535433099,-2.7348524273377497,-8.318918868120294,true
0.05825278098706333,-2.7321432624348043,-8.304907139010634,true
0.05831066697215292,-2.729431017619847,-8.29089570819425,true
0.05836873428564282,-2.7267156816015334,-8.276884577113297,true
0.05842698391120015,-2.723997243016786,-8.262873747220748,true
0.05848541684019464,-2.7212756904301423,-8.248863219980514,true
0.05854403407177803,-2.7185510123330943,-8.234852996867549,true
0.058602836612964684,-2.7158231971434224,-8.220843079367969,true
0.058661825478713084,-2.713092233204517,-8.20683346897916,true
0.058721001692008515,-2.7103581087846997,-8.192824167209908,true
0.05878036628394669,-2.7076208120765255,-8.178815175580498,true
0.05883992029381855,-2.704880331196088,-8.16480649562285,true
0.05889966476919617,-2.7021366541823086,-8.150798128880632,true
0.05895960076601975,-2.699389768996219,-8.136790076909387,true
0.05901972934868573,-2.6966396635202368,-8.122782341276652,true
0.059080051590136184,-2.69388632555743,-8.108774923562093,true
0.05914056857194919,-2.691129742830774,-8.094767825357621,true
0.05920128138443059,-2.6883699029823984,-8.080761048267533,true
0.05926219112670687,-2.685606793572828,-8.066754593908636,true
0.05932329890681926,-2.6828404020802075,-8.052748463910381,true
0.05938460584181918,-2.680070715899524,-8.038742659915005,true
0.05944611305786475,-2.6772977223418155,-8.024737183577654,true
0.059507821690318964,-2.674521408633371,-8.010732036566536,true
0.05956973288384874,-2.671741761914923,-7.996727220563049,true
0.059631847792525665,-2.6689587692408225,-7.982722737261933,true
0.05969416757992789,-2.6661724175782133,-7.968718588371409,true
0.059756693419243494,-2.66338269380619,-7.9547147756133265,true
0.05981942649337518,-2.6605895847149466,-7.940711300723311,true
0.05988236799504654,-2.6577930770049143,-7.9267081654509175,true
0.059945519126909576,-2.65499315728589,-7.9127053715597775,true
0.06000888110165385,-2.65218981207615,-7.898702920827757,true
0.06007245514211704,-2.6493830278015587,-7.884700815047115,true
0.06013624248139704,-2.64657279079466,-7.870699056024655,true
0.06020024436296567,-2.6437590872937586,-7.856697645581897,true
0.06026446204078384,-2.6409419034419916,-7.84269658555523,true
0.06032889677941844,-2.638121225286387,-7.8286958777960844,true
0.060393549854160726,-2.6352970387769084,-7.814695524171098,true
0.060458422551146467,-2.6324693297654904,-7.8006955265622855,true
0.060523516167477726,-2.6296380840050593,-7.786695886867212,true
0.06058883201134634,-2.626803287148541,-7.772696606999168,true
0.060654371402159186,-2.6239649247478596,-7.758697688887349,true
0.06072013567066512,-2.6211229822529147,-7.744699134477032,true
0.06078612615908384,-2.618277445010556,-7.730700945729762,true
0.060852344221236435,-2.615428298263536,-7.7167031246235345,true
0.06091879122267795,-2.6125755271494535,-7.702705673152987,true
0.06098546854083169,-2.609719116699679,-7.688708593329586,true
0.06105237756512557,-2.6068590518382706,-7.674711887181823,true
