r,v,eta,stable
0.044601646921960225,-3.021660140284652,-10.0,true
0.04460142932936032,-3.021608728229224,-9.999717346230476,true
0.044590661635658016,-3.0190565772852658,-9.985690828265824,true
0.04457995366039232,-3.0165027649736174,-9.97166446147246,true
0.044569305987685645,-3.013947285914542,-9.957638246440387,true
0.04455871920491625,-3.011390134701321,-9.943612183763042,true
0.04454819390282073,-3.00883130589981,-9.929586274037355,true
0.04453773067540758,-3.0062707940484343,-9.915560517863756,true
0.04452733012012155,-3.003708593657845,-9.90153491584622,true
0.044516992837684774,-3.001144699210929,-9.88750946859227,true
0.04450671943233917,-2.9985791051623383,-9.873484176713037,true
0.04449651051170566,-2.996011805938579,-9.859459040823255,true
0.04448636668689443,-2.993442795937532,-9.845434061541324,true
0.04447628857248907,-2.9908720695284634,-9.831409239489314,true
0.044466276786647496,-2.9882996210516795,-9.817384575293008,true
0.04445633195104936,-2.9857254448183377,-9.803360069581931,true
0.04444645469087446,-2.9831495351105137,-9.789335722989353,true
0.04443664563510683,-2.980571886180293,-9.775311536152389,true
0.0444269054162011,-2.9779924922503875,-9.761287509711945,true
0.04441723467029917,-2.975411347513458,-9.747263644312799,true
0.04440763403732593,-2.9728284461318952,-9.73323994060363,true
0.04439810416086587,-2.9702437822376893,-9.71921639923704,true
0.0443886456882848,-2.9676573499322836,-9.70519302086958,true
0.04437925927072499,-2.9650691432862133,-9.691169806161795,true
0.044369945563188185,-2.9624791563388255,-9.677146755778269,true
0.04436070522446755,-2.959887383098347,-9.663123870387615,true
0.044351538917285896,-2.9572938175413754,-9.649101150662547,true
0.04434244730826748,-2.9546984536126852,-9.63507859727991,true
0.04433343106803301,-2.9521012852249697,-9.621056210920706,true
0.04432449087104827,-2.949502306258996,-9.607033992270107,true
0.04431562739597604,-2.9469015105626353,-9.593011942017544,true
0.04430684132537058,-2.944298891951324,-9.578990060856684,true
0.04429813334596755,-2.9416944442073194,-9.564968349485515,true
0.04428950414858301,-2.939088161079756,-9.550946808606342,true
0.04428095442817124,-2.936480036284283,-9.536925438925849,true
0.0442724848839116,-2.93387006350273,-9.522904241155132,true
0.04426409621914254,-2.9312582363831092,-9.50888321600972,true
0.044255789141520605,-2.928644548539059,-9.494862364209634,true
0.04424756436296644,-2.926028993549772,-9.480841686479414,true
0.044239422599720815,-2.9234115649596584,-9.466821183548157,true
0.044231364572390686,-2.9207922562781805,-9.452800856149556,true
0.04422339100604058,-2.918171060979288,-9.438780705021959,true
0.0442155026301077,-2.9155479725015856,-9.42476073090837,true
0.044207700178509175,-2.9129229842478344,-9.410740934556513,true
0.04419998438972176,-2.9102960895845444,-9.396721316718883,true
0.04419235600675166,-2.9076672818419116,-9.382701878152767,true
0.044184815777223004,-2.90503655431344,-9.368682619620294,true
0.04417736445333138,-2.9024039002558024,-9.354663541888463,true
0.04417000279202754,-2.8997693128882007,-9.340644645729222,true
0.04416273155493662,-2.8971327853925177,-9.326625931919464,true
0.04415555150840713,-2.8944943109127497,-9.312607401241102,true
0.04414846342368272,-2.8918538825546323,-9.298589054481118,true
0.04414146807673335,-2.8892114933857576,-9.284570892431566,true
0.044134566248499256,-2.88656713643472,-9.270552915889668,true
0.04412775872475987,-2.8839208046913174,-9.25653512565782,true
0.04412104629635218,-2.881272491105936,-9.242517522543656,true
0.04411442975904756,-2.878622188589313,-9.228500107360095,true
0.044107909913726824,-2.875969890012201,-9.214482880925386,true
0.044101487566369696,-2.873315588205121,-9.200465844063153,true
0.044095163528019496,-2.8706592759581175,-9.18644899760243,true
0.044088938615030174,-2.868000946020086,-9.172432342377745,true
0.0440828136489255,-2.8653405910988434,-9.158415879229134,true
0.04407678945651982,-2.862678203860595,-9.144399609002207,true
0.04407086686993293,-2.860013776929769,-9.130383532548182,true
0.044065046726721666,-2.857347302888385,-9.116367650723964,true
0.0440593298698538,-2.854678774275885,-9.102351964392179,true
0.044053717147738335,-2.8520081835889153,-9.088336474421219,true
0.04404820941434658,-2.8493355232807858,-9.074321181685304,true
0.044042807529169274,-2.8466607857611956,-9.060306087064538,true
0.044037512357447295,-2.8439839633957966,-9.046291191444958,true
0.04403232476993551,-2.84130504850606,-9.03227649571858,true
0.04402724564322704,-2.838624033368717,-9.018262000783462,true
0.04402227585972221,-2.835940910215148,-9.00424770754379,true
0.04401741630756818,-2.8332556712317722,-8.990233616909858,true
0.04401266788080251,-2.830568308558942,-8.976219729798194,true
0.04400803147944501,-2.8278788142908535,-8.962206047131591,true
0.04400350800951284,-2.8251871804751936,-8.948192569839165,true
0.04399909838310284,-2.822493399112549,-8.93417929885643,true
0.0439948035183502,-2.8197974621563127,-8.920166235125329,true
0.04399062433956366,-2.8170993615121347,-8.906153379594313,true
0.04398656177734008,-2.8143990890375203,-8.892140733218396,true
0.04398261676854069,-2.8116966365412748,-8.878128296959234,true
0.043978790256288515,-2.808991995783498,-8.864116071785155,true
0.0439750831901817,-2.806285158474844,-8.850104058671242,true
0.043971496526224035,-2.8035761162762625,-8.83609225859939,true
