r,v,eta,stable
0.04705445656480354,-3.381944097648375,-12.0,true
0.047075719013095305,-3.381273232290705,-11.995827862881573,true
0.0471473190096356,-3.379013068574143,-11.981776412161063,true
0.04721890260738079,-3.376751777771264,-11.967725052066958,true
0.0472904698646937,-3.374489356405692,-11.953673782925074,true
0.0473620208403128,-3.372225800989853,-11.939622605062553,true
0.047433555593363784,-3.3699611080248584,-11.925571518807878,true
0.047505074183429176,-3.367695274000193,-11.911520524490903,true
0.04757657667048006,-3.3654282953939902,-11.897469622442832,true
0.04764806311490485,-3.363160168672664,-11.883418812996254,true
0.04771953357756948,-3.3608908902910763,-11.869368096485129,true
0.04779098811966863,-3.358620456692476,-11.855317473244801,true
0.047862426802889685,-3.356348864308229,-11.84126694361202,true
0.04793384968936355,-3.35407610955799,-11.82721650792493,true
0.048005256841664595,-3.351802188849403,-11.813166166523105,true
0.04807664832274435,-3.3495270985783634,-11.79911591974752,true
0.04814802419612642,-3.3472508351284787,-11.785065767940605,true
0.04821938452565502,-3.3449733948715794,-11.771015711446205,true
0.04829072937570067,-3.3426947741672826,-11.756965750609622,true
0.04836205881109412,-3.3404149693628677,-11.74291588577762,true
0.048433372897143695,-3.33813397679344,-11.728866117298427,true
0.048504671699599294,-3.335851792781786,-11.714816445521743,true
0.04857595528466635,-3.3335684136383907,-11.700766870798741,true
0.04864722371906509,-3.3312838356610954,-11.686717393482105,true
0.04871847707003204,-3.328998055135253,-11.672668013926014,true
0.04878971540520967,-3.32671106833379,-11.658618732486145,true
0.04886093879284009,-3.324422871516647,-11.644569549519723,true
0.04893214730156966,-3.3221334609313566,-11.630520465385471,true
0.049003341000561834,-3.319842832812463,-11.616471480443671,true
0.049074519959531375,-3.317550983381665,-11.60242259505615,true
0.04914568424868172,-3.3152579088477885,-11.588373809586287,true
0.049216833938744764,-3.3129636054065177,-11.574325124399035,true
0.04928796910096658,-3.310668069240596,-11.560276539860917,true
