j,eta
20.0,-9.951381715246654
19.99392760361803,-9.94556327116677
19.987741835673177,-9.939637650388505
19.981555709243153,-9.933713153837868
19.975369224214603,-9.927789782149388
19.969182380473704,-9.921867535959478
19.96299517790702,-9.915946415903775
19.956807616400823,-9.910026422619227
19.950619695841773,-9.904107556742039
19.94443141611639,-9.898189818909255
19.938242777110975,-9.892273209759045
19.932053778712508,-9.88635772992786
19.92586442080726,-9.880443380054798
19.91967470328196,-9.874530160777995
19.91348462602336,-9.868618072735886
19.90729418891819,-9.862707116567444
19.90110339185285,-9.856797292913093
19.894912234714525,-9.850888602411226
19.888720717389745,-9.844981045702722
19.882528839765644,-9.839074623427
19.87633660172872,-9.833169336225906
19.8701440031662,-9.827265184739424
19.863951043964843,-9.821362169609442
19.857757724011474,-9.81546029147809
19.85156404319338,-9.809559550986448
19.845370001397296,-9.803659948777817
19.839175598510582,-9.7977614854939
19.83298083442007,-9.791864161778554
19.82678570901302,-9.785967978274702
19.820590222176666,-9.780072935625782
19.814394373797942,-9.774179034476624
19.80819816376435,-9.768286275470714
19.80200159196304,-9.762394659253046
19.79580465828131,-9.756504186468636
19.789607362606482,-9.750614857762818
19.783409704825896,-9.744726673781347
19.77721168482704,-9.738839635169931
19.77101330249724,-9.732953742575232
19.764814557724076,-9.727068996643553
19.758615450394956,-9.721185398022179
19.75241598039746,-9.715302947358307
19.746216147619155,-9.709421645299594
19.74001595194766,-9.703541492493995
19.733815393270557,-9.697662489590025
19.72761447147566,-9.691784637235891
19.721413186450484,-9.685907936081216
19.715211538082954,-9.680032386774752
19.709009526260758,-9.674157989966456
19.702807150871774,-9.66828474630611
19.696604411803836,-9.662412656444106
19.690401308944793,-9.656541721031237
19.68419784218267,-9.650671940718173
19.677994011405396,-9.644803316156338
19.671789816500898,-9.638935847997605
19.665585257357172,-9.633069536894094
19.65938033386257,-9.62720438349724
19.65317504590499,-9.62134038846035
19.646969393372572,-9.615477552436447
19.64076337615363,-9.609615876078422
19.634556994136222,-9.603755360040445
19.628350247208743,-9.597896004976066
19.62214313525945,-9.592037811539731
19.615935658176593,-9.586180780386345
19.60972781584873,-9.580324912170303
19.603519608164177,-9.574470207547217
19.597311035011273,-9.568616667173085
19.591102096278775,-9.562764291703033
19.58489279185488,-9.55691308179442
19.57868312162848,-9.551063038102841
19.57247308548798,-9.545214161285909
19.56626268332197,-9.539366452001119
19.5600519150193,-9.533519910905541
19.5538407804687,-9.527674538657156
19.547629279558727,-9.521830335914913
19.541417412178323,-9.515987303337006
19.535205178216486,-9.510145441581894
19.528992577561663,-9.504304751310286
19.5227796101031,-9.49846523318077
19.516566275729758,-9.492626887853316
19.51035257433051,-9.486789715988643
19.50413850579456,-9.480953718246878
19.49792407001065,-9.475118895290082
19.491709266868227,-9.469285247778519
19.48549409625633,-9.463452776374229
19.47927855806423,-9.457621481738954
19.473062652181017,-9.451791364535524
19.46684637849615,-9.44596242542602
19.460629736898813,-9.440134665073876
19.45441272727848,-9.43430808414207
19.44819534952448,-9.428482683294511
19.441977603526176,-9.422658463195452
19.435759489173222,-9.4168354245087
19.42954100635513,-9.411013567898985
19.423322154961337,-9.405192894031735
19.417102934881562,-9.39937340357195
19.410883346005395,-9.393555097185523
19.404663388222794,-9.387737975537615
19.39844306142309,-9.381922039295885
19.392222365496373,-9.37610728912603
19.38600130033221,-9.370293725695886
19.3797798658207,-9.364481349672076
19.373558061851654,-9.358670161722605
19.36733588831508,-9.352860162515313
19.36111334510087,-9.347051352718907
19.354890432099282,-9.341243733001372
19.34866714920005,-9.335437304032862
19.34244349629357,-9.329632066481897
19.33621947327003,-9.323828021018102
19.329995080019508,-9.318025168311976
19.323770316432277,-9.312223509033826
19.317545182398643,-9.306423043854371
19.31131967780902,-9.300623773444437
19.30509380255381,-9.294825698475385
19.29886755652342,-9.289028819619014
19.292640939608223,-9.283233137547727
19.286413951698936,-9.277438652933315
19.280186592686057,-9.271645366448727
19.273958862460113,-9.26585327876732
19.267730760911853,-9.260062390562226
